txn_date,description,amount,account,category
2024-01-01,[SYNTHETIC] SHELL GAS STATION,-51.95,checking,transport
2024-01-05,[SYNTHETIC] STARBUCKS,-7.67,savings,dining
2024-01-06,[SYNTHETIC] ACME CORP PAYROLL,4084.37,checking,income
2024-01-06,[SYNTHETIC] AMC THEATRES,-26.47,checking,entertainment
2024-01-07,[SYNTHETIC] AIRBNB,-309.39,checking,travel
2024-01-08,[SYNTHETIC] COMCAST CABLE,-88.76,checking,utilities
2024-01-10,[SYNTHETIC] NETFLIX.COM,-15.99,checking,entertainment
2024-01-10,[SYNTHETIC] VENMO PAYMENT,-154.82,checking,transfers
2024-01-15,[SYNTHETIC] COMCAST CABLE,-65.55,savings,utilities
2024-01-15,[SYNTHETIC] LYFT RIDE,-23.82,checking,transport
2024-01-16,[SYNTHETIC] SHELL GAS STATION,-29.22,checking,transport
2024-01-17,[SYNTHETIC] INTEREST CREDIT,13.03,checking,income
2024-01-19,[SYNTHETIC] SHELL GAS STATION,-62.56,savings,transport
2024-01-20,[SYNTHETIC] TRADER JOES,-36.5,checking,groceries
2024-01-22,[SYNTHETIC] SPOTIFY USA,-10.99,checking,entertainment
2024-01-23,[SYNTHETIC] ZELLE TRANSFER,-25.98,checking,transfers
2024-01-24,[SYNTHETIC] LANDLORD RENT,-1800.0,checking,rent
2024-01-26,[SYNTHETIC] ATM WITHDRAWAL,-133.47,savings,cash
2024-01-28,[SYNTHETIC] LYFT RIDE,-29.55,savings,transport
2024-01-28,[SYNTHETIC] UBER TRIP,-22.94,savings,transport
2024-01-30,[SYNTHETIC] ACME CORP PAYROLL,3952.93,savings,income
2024-02-01,[SYNTHETIC] INTEREST CREDIT,11.47,checking,income
2024-02-05,[SYNTHETIC] CVS PHARMACY,-49.33,checking,health
2024-02-05,[SYNTHETIC] STARBUCKS,-11.59,checking,dining
2024-02-05,[SYNTHETIC] TARGET STORE,-60.48,checking,shopping
2024-02-08,[SYNTHETIC] PG&E UTILITY,-107.37,savings,utilities
2024-02-10,[SYNTHETIC] TARGET STORE,-64.16,savings,shopping
2024-02-10,[SYNTHETIC] ACME CORP PAYROLL,4311.91,checking,income
2024-02-11,[SYNTHETIC] ZELLE TRANSFER,-259.12,checking,transfers
2024-02-11,[SYNTHETIC] INTEREST CREDIT,3.2,checking,income
2024-02-12,[SYNTHETIC] AIRBNB,-253.54,checking,travel
2024-02-13,[SYNTHETIC] CHIPOTLE,-14.34,checking,dining
2024-02-14,[SYNTHETIC] LYFT RIDE,-26.9,checking,transport
2024-02-14,[SYNTHETIC] WHOLEFOODS MARKET,-65.92,checking,groceries
2024-02-17,[SYNTHETIC] VENMO PAYMENT,-134.17,checking,transfers
2024-02-17,[SYNTHETIC] CVS PHARMACY,-21.83,checking,health
2024-02-18,[SYNTHETIC] TRADER JOES,-35.82,checking,groceries
2024-02-20,[SYNTHETIC] SHELL GAS STATION,-27.73,savings,transport
2024-02-20,[SYNTHETIC] PG&E UTILITY,-64.05,savings,utilities
2024-02-20,[SYNTHETIC] LANDLORD RENT,-1800.0,checking,rent
2024-02-21,[SYNTHETIC] PG&E UTILITY,-65.86,checking,utilities
2024-02-22,[SYNTHETIC] UBER TRIP,-26.27,savings,transport
2024-02-22,[SYNTHETIC] COMCAST CABLE,-53.71,checking,utilities
2024-02-22,[SYNTHETIC] SHELL GAS STATION,-64.27,savings,transport
2024-02-24,[SYNTHETIC] CHIPOTLE,-24.01,checking,dining
2024-02-24,[SYNTHETIC] UNITED AIRLINES,-345.09,checking,travel
2024-02-25,[SYNTHETIC] AIRBNB,-183.29,checking,travel
2024-02-26,[SYNTHETIC] TARGET STORE,-32.23,checking,shopping
2024-02-28,[SYNTHETIC] SPOTIFY USA,-10.99,checking,entertainment
2024-02-28,[SYNTHETIC] CHIPOTLE,-24.8,checking,dining
2024-02-29,[SYNTHETIC] SHELL GAS STATION,-42.33,savings,transport
2024-03-05,[SYNTHETIC] STARBUCKS,-5.03,checking,dining
2024-03-05,[SYNTHETIC] LYFT RIDE,-28.41,checking,transport
2024-03-08,[SYNTHETIC] AMC THEATRES,-30.81,checking,entertainment
2024-03-09,[SYNTHETIC] UNITED AIRLINES,-269.01,checking,travel
2024-03-12,[SYNTHETIC] PG&E UTILITY,-79.73,savings,utilities
2024-03-13,[SYNTHETIC] SPOTIFY USA,-10.99,checking,entertainment
2024-03-16,[SYNTHETIC] UBER TRIP,-8.66,checking,transport
2024-03-16,[SYNTHETIC] AMC THEATRES,-30.37,checking,entertainment
2024-03-20,[SYNTHETIC] LANDLORD RENT,-1800.0,checking,rent
2024-03-20,[SYNTHETIC] PG&E UTILITY,-134.06,checking,utilities
2024-03-22,[SYNTHETIC] STARBUCKS,-9.59,checking,dining
2024-03-23,[SYNTHETIC] LYFT RIDE,-25.26,savings,transport
2024-03-24,[SYNTHETIC] COMCAST CABLE,-89.05,checking,utilities
2024-03-25,[SYNTHETIC] AMAZON.COM,-66.16,checking,shopping
2024-03-25,[SYNTHETIC] PLANET FITNESS,-22.99,checking,health
2024-03-26,[SYNTHETIC] CVS PHARMACY,-27.1,checking,health
2024-03-27,[SYNTHETIC] VENMO PAYMENT,-138.59,checking,transfers
2024-03-31,[SYNTHETIC] STARBUCKS,-10.43,savings,dining
2024-04-01,[SYNTHETIC] WHOLEFOODS MARKET,-67.67,savings,groceries
2024-04-03,[SYNTHETIC] SHELL GAS STATION,-46.94,checking,transport
2024-04-07,[SYNTHETIC] NETFLIX.COM,-15.99,savings,entertainment
2024-04-09,[SYNTHETIC] ZELLE TRANSFER,-106.47,checking,transfers
2024-04-11,[SYNTHETIC] SPOTIFY USA,-10.99,savings,entertainment
2024-04-12,[SYNTHETIC] PLANET FITNESS,-22.99,checking,health
2024-04-14,[SYNTHETIC] INTEREST CREDIT,10.62,checking,income
2024-04-17,[SYNTHETIC] VENMO PAYMENT,-140.63,savings,transfers
2024-04-18,[SYNTHETIC] CHIPOTLE,-21.8,checking,dining
2024-04-19,[SYNTHETIC] PLANET FITNESS,-22.99,checking,health
2024-04-21,[SYNTHETIC] SHELL GAS STATION,-45.93,checking,transport
2024-04-22,[SYNTHETIC] LANDLORD RENT,-1800.0,savings,rent
2024-04-22,[SYNTHETIC] PG&E UTILITY,-81.83,checking,utilities
2024-04-24,[SYNTHETIC] ACME CORP PAYROLL,3230.76,checking,income
2024-04-25,[SYNTHETIC] AIRBNB,-97.29,checking,travel
